id,title,image_id,artist_display,date_display
104045,"Skyline, ""TOPS"", Chicago Architectural Club Competition 1983, Presentation Drawing",7b281629-dea4-7854-3b44-5a7217d3f6f6,"Dirk W. Danker
American, 20th cen.",1983
220808,Design for Printed Textile,dc721a96-1515-d1dd-592e-0ed5d2b20c77,"Fredrica Justina (Freddie) Staack (American, 1903-1967)
France, Paris",1929/34
112155,"Study for San Francisco, center left section",974d8da2-66c3-b0ea-d856-e84cf647f13a,"Charles Meryon
French, 1821-1868",1855–56
83418,Six Vignettes,64affd01-78e6-446e-297a-3db5df8b9cd6,"Attributed to Thomas Stothard
English, 1755-1834",n.d.
13797,Landscape with Cypress Trees,e922e118-a295-702d-068b-a5b8e067de95,"André Derain
French, 1880-1954",n.d.
144902,"Henry P. Glass House, Northfield, Illinois, Presentation Drawings",69cb1088-2c40-5334-57fd-dfdf6c0867bf,"Henry Peter Glass
American, born Austria 1911-2003",1948
115650,Native Traveling in India,36fa652c-0942-b5ef-97b6-49567c8012f9,"Unknown Artist (British, 19th century)
or possibly Charles Lock Eastlake (English, 1836-1906)",n.d.
85995,Title Page with Portrait of Viceroy of Naples,d5a213d4-8a9a-d77c-bc08-353bb687d99d,"After Francesco Solimena (Italian, 1657-1747)
or the School of Pierre Mignard, I (French, 1612-1695)",n.d.
113607,"Study for Lucain's ""La Pharsale"", Canto III",330b2964-dd92-528d-4115-51ce6cd47102,"Hubert François Gravelot
French, 1699-1773",c. 1766
128699,My Heart Beats Fondly (Valentine),461d17ae-c84b-0cf8-6824-4d46714b60ec,"Joseph Addenbrooke
English, 19th century",1850/59
151524,"Backlash, Backlash...",72ff3573-7c2e-5281-3a89-e54a315e5dac,"Glenn Ligon
American, born 1960",1991
33219,White Median,17183011-05ab-8948-2a24-c4e703615af0,"Kenneth Noland
American, 1924–2010",1968
15857,Cabaret Scene,f6c5afa8-bbb5-9669-55d7-cfe8828f50d0,"André Lhote
French, 1885-1962",c. 1920
